ticker
AAPL
MSFT
NVDA
GOOGL
GOOG
AMZN
META
AVGO
TSLA
BRK-B
LLY
JPM
V
XOM
UNH
MA
COST
HD
PG
JNJ
NFLX
BAC
CRM
ABBV
CVX
KO
MRK
AMD
PEP
TMO
WMT
ADBE
LIN
ACN
MCD
CSCO
ABT
DHR
ORCL
WFC
TXN
GE
IBM
QCOM
CAT
PM
VZ
INTU
AMGN
NOW
NEE
UNP
SPGI
AMAT
BKNG
LOW
HON
BA
DE
ELV
ISRG
LMT
SYK
BLK
GS
MS
PLD
MDT
ADI
GILD
TJX
SBUX
VRTX
REGN
C
PANW
MU
CB
CI
SCHW
ADP
MMC
FI
ETN
BSX
SO
DUK
ZTS
CME
BX
KLAC
SNPS
CDNS
SLB
NKE
PGR
EQIX
APH
CSX
FCX
ITW
AON
ICE
MCK
CL
MPC
PSX
ORLY
NOC
GD
APD
ROP
CMG
WM
EMR
PXD
NSC
MAR
PYPL
CTAS
CARR
MSI
PH
ECL
TT
AJG
FTNT
ADSK
HUM
MET
AIG
NXPI
PCAR
DXCM
ANET
CPRT
IDXX
CHTR
AZO
MRVL
ROST
MNST
ODFL
KDP
BIIB
EXC
XEL
CTSH
FAST
PAYX
VRSK
CSGP
ON
CRWD
DDOG
ZS
NET
SNOW
MDB
TEAM
WDAY
PLTR
COIN
RBLX
U
DASH
ABNB
UBER
LYFT
SHOP
SQ
ROKU
PINS
SNAP
TTD
DOCU
OKTA
TWLO
HUBS
ESTC
GTLB
PATH
S
CFLT
SMCI
ARM
AI
SOFI
UPST
AFRM
RIVN
LCID
NIO
XPEV
LI
CVNA
DKNG
CELH
ELF
SFM
DECK
CROX
LULU
ANF
GPS
BURL
FIVE
ULTA
YETI
POOL
TSCO
ETSY
W
CHWY
CVS
WBA
DG
DLTR
KR
SYY
TGT
BBY
GME
AMC
DIS
CMCSA
WBD
PARA
FOXA
NWSA
LYV
EA
TTWO
RBLX
SPOT
NTES
BIDU
JD
PDD
BABA
MELI
SE
GRAB
